Method,RTT_ms,mean_reward,std_reward,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_wire_bytes,median_wire_bytes,hybrid_rate,pqc_rate,classical_rate,fallback_rate,violation_rate,level_3_plus_rate,level_1_rate,level_3_rate,level_5_rate
Fixed_PQC_ONLY_L3,15.0,-1.7117279767990112,0.0,365.8545837402344,365.8545837402344,365.8545837402344,2272.0,2272.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_PQC_ONLY_L3,50.0,-4.054069519042969,0.0,436.6446533203125,436.6446533203125,436.6446533203125,2272.0,2272.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_PQC_ONLY_L3,100.0,-8.844870567321777,0.0,561.7735595703125,561.7735595703125,561.7735595703125,2272.0,2272.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_PQC_ONLY_L3,200.0,-20.768198013305664,0.0,768.4598999023438,768.4598999023438,768.4598999023438,2272.0,2272.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_PQC_ONLY_L5,0.0,-1.3879334926605225,0.0,401.0733337402344,401.0733337402344,401.0733337402344,3136.0,3136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_PQC_ONLY_L5,15.0,-2.8930208683013916,0.0,479.6366271972656,479.6366271972656,479.6366271972656,3136.0,3136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_PQC_ONLY_L5,50.0,-5.584286212921143,0.0,547.1390991210938,547.1390991210938,547.1390991210938,3136.0,3136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_PQC_ONLY_L5,100.0,-10.489482879638672,0.0,646.8641357421875,646.8641357421875,646.8641357421875,3136.0,3136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_PQC_ONLY_L5,200.0,-23.43006706237793,0.0,856.7622680664062,856.7622680664062,856.7622680664062,3136.0,3136.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_ALLOW_FALLBACK_L3,0.0,-2.8168392181396484,0.0,299.1239013671875,299.1239013671875,299.1239013671875,1378.0,1378.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Fixed_ALLOW_FALLBACK_L3,15.0,-3.979884386062622,0.0,361.2420959472656,361.2420959472656,361.2420959472656,1378.0,1378.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Fixed_ALLOW_FALLBACK_L3,50.0,-6.532878875732422,0.0,447.1519775390625,447.1519775390625,447.1519775390625,1378.0,1378.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Fixed_ALLOW_FALLBACK_L3,100.0,-11.19007682800293,0.0,562.9738159179688,562.9738159179688,562.9738159179688,1378.0,1378.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Fixed_ALLOW_FALLBACK_L3,200.0,-22.406829833984375,0.0,745.7077026367188,745.7077026367188,745.7077026367188,1378.0,1378.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Oracle,0.0,0.8366926312446594,0.0,312.0107421875,312.0107421875,312.0107421875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Oracle,15.0,-0.1842421144247055,0.0,360.0906066894531,360.0906066894531,360.0906066894531,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Oracle,50.0,-3.001042604446411,0.0,463.856201171875,463.856201171875,463.856201171875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Oracle,100.0,-7.369513034820557,0.0,561.065673828125,561.065673828125,561.065673828125,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Oracle,200.0,-19.06218910217285,0.0,760.2996826171875,760.2996826171875,760.2996826171875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
